"ltla21_code","total_population","legal_partnership","n","prop"
"E06000006",103946,"Separated, but still legally married or still legally in a civil partnership: Separated, but still in a registered civil partnership; measures: Value",21,"0.000202027976"
"E06000006",103946,"Divorced or civil partnership dissolved; measures: Value",9962,"0.095838223693"
"E06000006",103946,"Divorced or civil partnership dissolved: Divorced; measures: Value",9947,"0.095693917996"
"E06000006",103946,"Divorced or civil partnership dissolved: Formerly in a civil partnership now legally dissolved; measures: Value",15,"0.000144305697"
"E06000006",103946,"Widowed or surviving civil partnership partner; measures: Value",6761,"0.065043387913"
"E06000006",103946,"Widowed or surviving civil partnership partner: Widowed; measures: Value",6754,"0.064976045254"
"E06000006",103946,"Widowed or surviving civil partnership partner: Surviving partner from civil partnership; measures: Value",7,"0.000067342659"
"E06000007",172717,"Never married and never registered a civil partnership; measures: Value",60347,"0.349398148416"
"E06000007",172717,"Married or in a registered civil partnership; measures: Value",80986,"0.468894202655"
"E06000007",172717,"Married or in a registered civil partnership: Married; measures: Value",80774,"0.467666761234"
"E06000007",172717,"Married or in a registered civil partnership: Married: Opposite sex; measures: Value",80349,"0.465206088573"
"E06000007",172717,"Married or in a registered civil partnership: Married: Same sex; measures: Value",425,"0.002460672661"
"E06000007",172717,"Married or in a registered civil partnership: In a registered civil partnership; measures: Value",212,"0.001227441422"
"E06000007",172717,"Married or in a registered civil partnership: In a registered civil partnership: Opposite sex; measures: Value",78,"0.000451605806"
"E06000007",172717,"Married or in a registered civil partnership: In a registered civil partnership: Same sex; measures: Value",134,"0.000775835615"
"E06000007",172717,"Separated, but still legally married or still legally in a civil partnership; measures: Value",3484,"0.020171726003"
"E06000007",172717,"Separated, but still legally married or still legally in a civil partnership: Separated, but still married; measures: Value",3462,"0.020044350006"
"E06000007",172717,"Separated, but still legally married or still legally in a civil partnership: Separated, but still in a registered civil partnership; measures: Value",22,"0.000127375997"
"E06000007",172717,"Divorced or civil partnership dissolved; measures: Value",16556,"0.095856227239"
"E06000007",172717,"Divorced or civil partnership dissolved: Divorced; measures: Value",16528,"0.095694112334"
"E06000007",172717,"Divorced or civil partnership dissolved: Formerly in a civil partnership now legally dissolved; measures: Value",28,"0.000162114905"
"E06000007",172717,"Widowed or surviving civil partnership partner; measures: Value",11344,"0.065679695687"
"E06000007",172717,"Widowed or surviving civil partnership partner: Widowed; measures: Value",11338,"0.065644956779"
"E06000007",172717,"Widowed or surviving civil partnership partner: Surviving partner from civil partnership; measures: Value",6,"0.000034738908"
"E06000008",119510,"Never married and never registered a civil partnership; measures: Value",45141,"0.377717345829"
"E06000008",119510,"Married or in a registered civil partnership; measures: Value",54257,"0.453995481550"
"E06000008",119510,"Married or in a registered civil partnership: Married; measures: Value",54110,"0.452765458957"
"E06000008",119510,"Married or in a registered civil partnership: Married: Opposite sex; measures: Value",53827,"0.450397456280"
"E06000008",119510,"Married or in a registered civil partnership: Married: Same sex; measures: Value",283,"0.002368002678"
"E06000008",119510,"Married or in a registered civil partnership: In a registered civil partnership; measures: Value",147,"0.001230022592"
"E06000008",119510,"Married or in a registered civil partnership: In a registered civil partnership: Opposite sex; measures: Value",62,"0.000518785039"
"E06000008",119510,"Married or in a registered civil partnership: In a registered civil partnership: Same sex; measures: Value",85,"0.000711237553"
"E06000008",119510,"Separated, but still legally married or still legally in a civil partnership; measures: Value",2953,"0.024709229353"
"E06000008",119510,"Separated, but still legally married or still legally in a civil partnership: Separated, but still married; measures: Value",2939,"0.024592084344"
"E06000008",119510,"Separated, but still legally married or still legally in a civil partnership: Separated, but still in a registered civil partnership; measures: Value",14,"0.000117145009"
"E06000008",119510,"Divorced or civil partnership dissolved; measures: Value",10201,"0.085356873902"
"E06000008",119510,"Divorced or civil partnership dissolved: Divorced; measures: Value",10184,"0.085214626391"
"E06000008",119510,"Divorced or civil partnership dissolved: Formerly in a civil partnership now legally dissolved; measures: Value",17,"0.000142247511"
"E06000008",119510,"Widowed or surviving civil partnership partner; measures: Value",6958,"0.058221069367"
"E06000008",119510,"Widowed or surviving civil partnership partner: Widowed; measures: Value",6950,"0.058154129362"
"E06000008",119510,"Widowed or surviving civil partnership partner: Surviving partner from civil partnership; measures: Value",8,"0.000066940005"
"E06000009",116343,"Never married and never registered a civil partnership; measures: Value",47573,"0.408902985139"
"E06000009",116343,"Married or in a registered civil partnership; measures: Value",41939,"0.360477209630"
"E06000009",116343,"Married or in a registered civil partnership: Married; measures: Value",41586,"0.357443077796"
"E06000009",116343,"Married or in a registered civil partnership: Married: Opposite sex; measures: Value",40910,"0.351632672357"
"E06000009",116343,"Married or in a registered civil partnership: Married: Same sex; measures: Value",676,"0.005810405439"
"E06000009",116343,"Married or in a registered civil partnership: In a registered civil partnership; measures: Value",353,"0.003034131834"
"E06000009",116343,"Married or in a registered civil partnership: In a registered civil partnership: Opposite sex; measures: Value",72,"0.000618859751"
"E06000009",116343,"Married or in a registered civil partnership: In a registered civil partnership: Same sex; measures: Value",281,"0.002415272083"
"E06000009",116343,"Separated, but still legally married or still legally in a civil partnership; measures: Value",3436,"0.029533362557"
"E06000009",116343,"Separated, but still legally married or still legally in a civil partnership: Separated, but still married; measures: Value",3387,"0.029112194116"
"E06000009",116343,"Separated, but still legally married or still legally in a civil partnership: Separated, but still in a registered civil partnership; measures: Value",49,"0.000421168442"
"E06000009",116343,"Divorced or civil partnership dissolved; measures: Value",14583,"0.125344885382"
"E06000009",116343,"Divorced or civil partnership dissolved: Divorced; measures: Value",14525,"0.124846359472"
"E06000009",116343,"Divorced or civil partnership dissolved: Formerly in a civil partnership now legally dissolved; measures: Value",58,"0.000498525910"
"E06000009",116343,"Widowed or surviving civil partnership partner; measures: Value",8812,"0.075741557292"
"E06000009",116343,"Widowed or surviving civil partnership partner: Widowed; measures: Value",8782,"0.075483699062"
"E06000009",116343,"Widowed or surviving civil partnership partner: Surviving partner from civil partnership; measures: Value",30,"0.000257858230"
"E06000049",329473,"Never married and never registered a civil partnership; measures: Value",104002,"0.315661677892"
"E06000049",329473,"Married or in a registered civil partnership; measures: Value",163794,"0.497139371056"
"E06000049",329473,"Married or in a registered civil partnership: Married; measures: Value",163192,"0.495312210712"
