"nhs_trust22_code","date","general_acute_beds_available","general_acute_beds_occupied","general_acute_beds_occupancy_rate","adult_general_acute_beds_available","adult_general_acute_beds_occupied","adult_general_acute_beds_occupancy_rate","paediatric_general_acute_beds_available","paediatric_general_acute_beds_occupied","paediatric_general_acute_beds_occupancy_rate","adult_critical_care_beds_available","adult_critical_care_beds_occupied","adult_critical_care_occupancy_rate","paediatric_intensive_cared_beds_available","paediatric_intensive_cared_beds_occupied","paediatric_intensive_cared_occupancy_rate","neonatal_intensive_care_bed_available","neonatal_intensive_care_bed_occupied","neonatal_intensive_care_occupancy_rate"
"RLT","May 2022",299,299,0.999,299,299,0.999,NA,NA,NA,8,6,0.742,NA,NA,NA,NA,NA,NA
"RM1","May 2022",953,884,0.927,908,866,0.953,45,18,0.393,30,21,0.708,0,0,NA,15,10,0.692
"RM3","May 2022",1447,1328,0.918,1399,1298,0.928,47,30,0.635,58,54,0.933,0,0,NA,9,4,0.515
"RMC","May 2022",619,548,0.885,541,498,0.919,78,50,0.646,18,11,0.624,0,0,NA,38,27,0.718
"RMP","May 2022",416,385,0.927,376,364,0.969,40,21,0.537,10,7,0.7,0,0,NA,1,0,0
"RN3","May 2022",552,540,0.979,520,516,0.993,32,24,0.755,12,9,0.785,0,0,NA,10,7,0.71
"RN5","May 2022",839,759,0.904,790,717,0.907,49,42,0.852,27,18,0.665,NA,NA,NA,4,0,0.056
"RN7","May 2022",531,502,0.947,491,475,0.967,40,28,0.696,13,9,0.73,0,0,NA,0,0,NA
"RNA","May 2022",600,565,0.943,569,550,0.967,31,16,0.504,39,29,0.735,0,0,NA,18,13,0.729
"RNN","May 2022",620,572,0.923,573,548,0.957,47,24,0.502,13,10,0.776,0,0,NA,0,0,NA
"RNQ","May 2022",552,536,0.969,526,518,0.983,26,18,0.687,29,8,0.275,NA,NA,NA,4,0,0.097
"RNS","May 2022",662,631,0.953,596,586,0.983,66,45,0.674,16,11,0.69,0,0,NA,2,1,0.532
"RNZ","May 2022",452,436,0.966,436,425,0.976,16,11,0.688,14,7,0.507,0,0,NA,4,0,0.008
"RP4","May 2022",246,198,0.805,NA,NA,NA,246,198,0.805,0,NA,NA,47,40,0.854,0,NA,NA
"RP5","May 2022",677,656,0.968,653,635,0.973,24,20,0.843,25,22,0.893,0,0,NA,2,1,0.315
"RP6","May 2022",13,4,0.305,13,4,0.305,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"RPA","May 2022",488,451,0.924,451,436,0.967,37,15,0.407,27,18,0.677,0,0,NA,20,15,0.737
"RPC","May 2022",48,23,0.481,46,23,0.496,2,0,0.113,5,1,0.181,NA,NA,NA,NA,NA,NA
"RPY","May 2022",199,177,0.887,182,162,0.889,17,15,0.862,14,10,0.678,NA,NA,NA,NA,NA,NA
"RQ3","May 2022",265,227,0.857,24,16,0.655,241,211,0.877,0,0,NA,30,28,0.934,21,16,0.756
"RQM","May 2022",651,596,0.916,610,560,0.919,41,36,0.881,24,18,0.766,10,6,0.619,50,41,0.826
"RQW","May 2022",417,405,0.972,402,392,0.975,15,13,0.881,12,10,0.793,0,0,NA,6,3,0.565
"RQX","May 2022",261,237,0.908,243,227,0.934,18,10,0.554,12,10,0.812,0,0,NA,24,20,0.849
"RR7","May 2022",456,423,0.927,456,423,0.927,0,0,NA,12,7,0.585,0,0,NA,0,0,NA
"RR8","May 2022",1679,1661,0.99,1545,1534,0.993,133,127,0.956,56,54,0.95,16,15,0.916,26,22,0.848
"RRF","May 2022",383,383,1,383,383,1,0,0,NA,11,7,0.66,0,0,NA,1,1,0.548
"RRJ","May 2022",117,82,0.699,117,82,0.699,0,0,NA,6,4,0.618,0,0,NA,0,0,NA
"RRK","May 2022",2514,2394,0.952,2436,2338,0.96,78,57,0.728,86,82,0.96,NA,NA,NA,13,11,0.889
"RRV","May 2022",641,623,0.971,641,623,0.971,0,0,NA,79,51,0.649,0,0,NA,32,28,0.872
"RTD","May 2022",1430,1227,0.858,1264,1086,0.859,166,142,0.85,86,67,0.784,27,21,0.787,12,11,0.89
"RTE","May 2022",861,830,0.964,815,790,0.97,46,40,0.859,25,16,0.63,0,0,NA,12,7,0.597
"RTF","May 2022",853,766,0.897,835,756,0.906,18,9,0.508,15,9,0.606,0,0,NA,12,6,0.505
"RTG","May 2022",1452,1346,0.927,1402,1317,0.939,49,29,0.598,53,42,0.8,NA,NA,NA,25,24,0.945
"RTH","May 2022",990,951,0.96,912,884,0.969,78,67,0.858,56,42,0.744,17,11,0.649,35,35,1
"RTK","May 2022",497,425,0.855,477,410,0.86,20,15,0.729,17,12,0.712,0,0,NA,8,2,0.194
"RTP","May 2022",675,665,0.986,651,644,0.989,23,21,0.899,16,14,0.897,0,0,NA,23,15,0.64
"RTR","May 2022",907,824,0.909,860,797,0.927,47,28,0.585,51,43,0.855,0,0,NA,15,13,0.875
"RTX","May 2022",639,574,0.897,607,557,0.919,33,16,0.5,14,10,0.682,0,0,NA,1,0,0.065
"RVJ","May 2022",912,895,0.981,912,895,0.981,NA,NA,NA,46,36,0.791,NA,NA,NA,32,28,0.873
"RVR","May 2022",576,516,0.896,543,501,0.922,33,16,0.476,25,15,0.612,0,0,NA,0,0,NA
"RVV","May 2022",1039,955,0.919,991,925,0.934,48,30,0.616,41,29,0.704,NA,NA,NA,39,26,0.673
"RVW","May 2022",514,483,0.94,494,466,0.944,20,17,0.823,16,10,0.637,0,0,NA,0,0,NA
"RVY","May 2022",356,347,0.974,356,347,0.974,0,0,NA,18,11,0.597,NA,NA,NA,0,0,0
"RWA","May 2022",1032,954,0.924,986,918,0.931,46,36,0.785,44,30,0.692,0,0,NA,6,6,0.964
"RWD","May 2022",1018,953,0.937,986,929,0.943,32,24,0.755,25,15,0.608,0,0,NA,23,12,0.525
"RWE","May 2022",1655,1528,0.923,1548,1461,0.943,107,67,0.628,79,53,0.672,13,11,0.849,42,32,0.77
"RWF","May 2022",706,661,0.936,680,637,0.937,25,24,0.929,31,18,0.578,0,0,NA,0,0,NA
"RWG","May 2022",686,614,0.895,643,592,0.92,43,22,0.516,20,14,0.716,0,0,NA,7,2,0.363
"RWH","May 2022",547,506,0.926,525,490,0.933,22,16,0.742,18,16,0.873,0,NA,NA,10,5,0.494
"RWJ","May 2022",638,590,0.925,617,571,0.926,21,19,0.905,14,8,0.599,0,0,NA,5,4,0.694
"RWP","May 2022",790,727,0.921,759,705,0.929,31,23,0.726,16,13,0.827,NA,NA,NA,6,0,0.081
"RWW","May 2022",567,519,0.916,528,500,0.947,39,19,0.497,18,17,0.958,0,0,NA,3,0,0.151
"RWY","May 2022",608,580,0.955,571,554,0.971,37,26,0.704,13,9,0.712,0,0,NA,6,3,0.511
"RX1","May 2022",1634,1499,0.917,1528,1415,0.926,106,84,0.788,69,48,0.692,14,11,0.768,40,32,0.802
"RXC","May 2022",741,701,0.946,724,688,0.95,17,13,0.78,19,14,0.741,0,0,NA,12,5,0.427
"RXF","May 2022",989,915,0.925,974,904,0.928,15,11,0.747,28,9,0.312,0,0,NA,7,3,0.474
"RXK","May 2022",650,598,0.919,616,569,0.924,34,28,0.831,18,16,0.857,0,0,NA,10,0,0
"RXL","May 2022",782,732,0.936,738,705,0.955,44,27,0.618,36,24,0.68,0,0,NA,4,3,0.75
"RXN","May 2022",760,715,0.942,730,692,0.949,30,23,0.766,34,23,0.675,0,0,NA,28,16,0.569
"RXP","May 2022",821,704,0.858,788,682,0.866,33,22,0.656,21,10,0.488,NA,NA,NA,NA,NA,NA
"RXQ","May 2022",449,416,0.927,425,396,0.931,24,20,0.852,18,13,0.702,0,0,NA,5,5,0.88
"RXR","May 2022",727,666,0.915,673,629,0.934,54,37,0.679,28,21,0.763,0,0,NA,8,5,0.569
"RXW","May 2022",761,678,0.891,725,658,0.908,36,20,0.556,22,15,0.683,0,0,NA,6,4,0.683
"RYJ","May 2022",1051,889,0.845,1015,861,0.848,36,28,0.767,101,84,0.828,15,8,0.51,51,26,0.506
"RYR","May 2022",1731,1642,0.949,1650,1591,0.964,81,51,0.628,65,55,0.847,0,0,NA,59,32,0.535
"R0A","June 2022",2327,2025,0.87,2019,1784,0.884,308,241,0.781,125,101,0.803,41,38,0.925,63,45,0.721
"R0B","June 2022",1091,948,0.869,1034,912,0.882,57,36,0.628,22,13,0.611,0,0,NA,7,4,0.687
"R0D","June 2022",1079,1007,0.934,1053,990,0.94,26,17,0.664,22,17,0.786,0,0,NA,20,13,0.673
"R1F","June 2022",260,238,0.916,250,232,0.93,10,6,0.566,6,5,0.818,0,0,NA,0,0,NA
"R1H","June 2022",1627,1500,0.922,1485,1379,0.929,142,120,0.846,115,106,0.927,4,3,0.808,52,45,0.873
"R1K","June 2022",927,891,0.96,901,870,0.966,27,21,0.777,62,47,0.76,0,0,NA,5,4,0.713
"RA2","June 2022",438,417,0.954,412,401,0.972,26,17,0.651,16,15,0.934,0,0,NA,4,2,0.417
"RA4","June 2022",357,331,0.928,333,319,0.957,24,13,0.521,11,9,0.83,0,0,NA,0,0,NA
"RA7","June 2022",1014,929,0.917,864,820,0.949,149,109,0.731,48,41,0.855,18,14,0.794,31,24,0.778
"RA9","June 2022",379,357,0.943,357,343,0.963,22,14,0.615,10,5,0.547,NA,NA,NA,NA,NA,NA
"RAE","June 2022",572,511,0.894,533,481,0.902,39,30,0.783,11,10,0.852,0,0,NA,8,8,0.98
"RAJ","June 2022",1771,1605,0.906,1697,1558,0.918,74,47,0.638,69,62,0.908,0,0,NA,28,19,0.665
"RAL","June 2022",936,915,0.978,892,879,0.986,44,36,0.81,69,53,0.774,0,0,NA,4,2,0.508
"RAN","June 2022",148,117,0.786,121,99,0.818,27,17,0.642,8,3,0.413,4,2,0.544,0,0,NA
"RAP","June 2022",496,485,0.979,480,472,0.983,16,13,0.835,19,17,0.915,NA,NA,NA,6,6,1
"RAS","June 2022",347,320,0.923,323,301,0.933,24,19,0.796,12,9,0.753,NA,NA,NA,8,6,0.728
"RAX","June 2022",397,384,0.969,373,369,0.991,24,15,0.633,19,13,0.691,0,0,NA,20,12,0.605
"RBD","June 2022",332,320,0.962,318,310,0.976,14,9,0.66,8,8,0.907,0,0,NA,0,0,NA
"RBK","June 2022",545,524,0.962,503,491,0.977,42,33,0.787,13,10,0.733,NA,NA,NA,2,1,0.317
"RBL","June 2022",768,718,0.935,749,704,0.94,19,14,0.712,17,12,0.694,NA,NA,NA,7,6,0.829
"RBN","June 2022",739,721,0.976,709,700,0.987,31,22,0.716,14,8,0.552,0,0,NA,0,0,NA
"RBQ","June 2022",147,121,0.826,147,121,0.826,NA,NA,NA,30,22,0.73,NA,NA,NA,NA,NA,NA
"RBS","June 2022",209,152,0.727,0,0,NA,209,152,0.727,0,0,NA,21,14,0.649,0,0,NA
"RBT","June 2022",536,513,0.957,509,496,0.975,27,17,0.617,11,8,0.733,0,0,NA,15,7,0.456
"RBV","June 2022",160,140,0.872,160,140,0.872,NA,NA,NA,8,5,0.654,NA,NA,NA,NA,NA,NA
"RC9","June 2022",1042,993,0.953,947,911,0.962,95,82,0.865,26,16,0.621,0,0,NA,23,18,0.804
"RCB","June 2022",862,796,0.924,821,776,0.945,41,20,0.49,36,16,0.431,0,0,NA,2,1,0.667
"RCD","June 2022",305,285,0.934,289,276,0.953,16,9,0.59,9,5,0.536,0,0,NA,0,0,NA
"RCF","June 2022",351,309,0.88,334,297,0.887,17,12,0.725,7,4,0.524,0,0,NA,0,0,NA
"RCU","June 2022",147,100,0.681,0,0,NA,147,100,0.681,0,0,NA,9,7,0.779,2,1,0.567
"RCX","June 2022",495,485,0.979,479,472,0.986,16,12,0.779,13,7,0.567,NA,NA,NA,3,1,0.322
"RD1","June 2022",574,531,0.925,541,513,0.947,33,18,0.562,14,12,0.858,0,0,NA,7,6,0.79
"RD8","June 2022",509,455,0.893,468,431,0.92,41,24,0.58,10,6,0.603,0,0,NA,4,3,0.758
"RDE","June 2022",1146,1081,0.943,1108,1054,0.951,37,27,0.711,34,18,0.516,0,0,NA,10,4,0.442
"RDU","June 2022",1264,1125,0.89,1194,1080,0.904,70,45,0.645,24,19,0.774,0,0,NA,11,5,0.458
"REF","June 2022",649,619,0.953,612,601,0.981,37,18,0.486,15,10,0.652,0,0,NA,7,5,0.767
"REM","June 2022",1546,1457,0.942,1546,1457,0.942,0,0,NA,59,49,0.835,NA,NA,NA,NA,NA,NA
"REN","June 2022",89,82,0.922,89,82,0.922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"REP","June 2022",24,11,0.467,24,11,0.467,0,0,NA,2,1,0.3,0,0,NA,44,36,0.817
"RET","June 2022",144,127,0.877,144,127,0.877,0,0,NA,20,12,0.598,0,0,NA,0,0,NA
"RF4","June 2022",920,849,0.923,871,812,0.932,49,37,0.754,57,43,0.751,0,0,NA,11,7,0.621
"RFF","June 2022",409,385,0.94,401,379,0.945,8,5,0.65,24,17,0.706,0,0,NA,2,1,0.45
"RFR","June 2022",435,409,0.941,413,397,0.961,22,13,0.571,14,10,0.681,0,0,NA,14,12,0.855
"RFS","June 2022",508,483,0.95,485,465,0.959,23,18,0.768,15,11,0.704,0,0,NA,3,1,0.462
"RGM","June 2022",177,160,0.906,177,160,0.906,NA,NA,NA,33,29,0.884,NA,NA,NA,NA,NA,NA
"RGN","June 2022",885,853,0.964,842,823,0.977,43,30,0.705,22,14,0.631,NA,NA,NA,4,2,0.435
"RGP","June 2022",432,402,0.931,403,386,0.96,29,16,0.539,12,8,0.703,0,0,NA,9,7,0.733
"RGR","June 2022",437,389,0.891,422,380,0.901,15,9,0.598,16,13,0.785,0,0,NA,12,6,0.536
"RGT","June 2022",1004,941,0.937,929,881,0.949,75,60,0.796,65,55,0.85,9,5,0.53,43,30,0.698
"RH5","June 2022",639,606,0.949,598,579,0.969,41,27,0.659,16,13,0.805,0,0,NA,8,4,0.475
"RH8","June 2022",1163,1079,0.928,1106,1050,0.949,57,30,0.525,35,24,0.694,0,0,NA,8,5,0.579
"RHM","June 2022",1075,1021,0.949,986,947,0.96,89,74,0.829,87,80,0.915,14,12,0.871,11,10,0.855
"RHQ","June 2022",1375,1251,0.91,1375,1251,0.91,NA,NA,NA,127,88,0.691,NA,NA,NA,50,30,0.592
"RHU","June 2022",1059,1012,0.955,1026,990,0.964,33,22,0.672,20,19,0.98,0,0,NA,14,12,0.843
"RHW","June 2022",610,547,0.897,575,523,0.909,35,24,0.686,23,20,0.853,NA,NA,NA,2,1,0.517
"RJ1","June 2022",926,808,0.872,806,724,0.898,120,83,0.695,74,62,0.837,19,16,0.865,20,17,0.861
"RJ2","June 2022",889,855,0.962,859,829,0.966,30,26,0.869,36,26,0.722,0,0,NA,5,1,0.22
"RJ6","June 2022",454,445,0.979,440,435,0.987,14,10,0.719,15,10,0.682,4,4,0.941,4,0,0.05
"RJ7","June 2022",854,819,0.959,807,783,0.971,48,37,0.768,67,51,0.759,15,10,0.691,39,34,0.857
"RJC","June 2022",427,377,0.883,410,366,0.893,17,11,0.635,7,4,0.576,0,0,NA,12,6,0.5
"RJE","June 2022",1293,1167,0.902,1241,1126,0.907,52,41,0.783,58,47,0.804,6,3,0.461,12,7,0.561
"RJL","June 2022",637,593,0.931,601,576,0.957,36,17,0.491,14,12,0.888,0,0,NA,26,13,0.496
"RJN","June 2022",346,322,0.931,331,316,0.956,15,6,0.369,6,3,0.45,0,0,NA,0,0,NA
"RJR","June 2022",409,386,0.944,387,373,0.965,22,13,0.574,15,13,0.874,0,0,NA,12,7,0.542
"RJZ","June 2022",1226,1192,0.972,1158,1125,0.971,68,67,0.991,123,115,0.937,15,13,0.867,47,45,0.939
"RK5","June 2022",618,589,0.952,591,569,0.964,28,19,0.706,12,6,0.529,0,0,NA,10,3,0.26
"RK9","June 2022",1001,944,0.943,949,919,0.969,52,25,0.474,46,30,0.645,0,0,NA,15,14,0.924
"RKB","June 2022",1048,1014,0.968,989,969,0.98,59,45,0.763,44,35,0.792,0,0,NA,27,21,0.769
"RKE","June 2022",238,230,0.968,223,219,0.981,15,12,0.776,10,9,0.882,0,0,NA,6,2,0.311
"RL1","June 2022",149,127,0.853,141,123,0.875,8,4,0.466,4,3,0.647,NA,NA,NA,NA,NA,NA
"RL4","June 2022",850,794,0.934,810,760,0.938,40,34,0.854,28,15,0.549,0,0,NA,14,14,0.993
"RLQ","June 2022",307,270,0.879,286,253,0.882,20,17,0.83,8,7,0.817,0,0,NA,3,1,0.478
"RLT","June 2022",299,299,1,299,299,1,NA,NA,NA,8,5,0.608,NA,NA,NA,NA,NA,NA
"RM1","June 2022",955,894,0.936,909,875,0.962,45,20,0.431,30,22,0.737,0,0,NA,15,9,0.613
"RM3","June 2022",1502,1386,0.923,1453,1355,0.933,49,31,0.628,62,54,0.88,0,0,NA,9,4,0.452
"RMC","June 2022",616,554,0.898,538,505,0.938,78,49,0.623,18,12,0.654,0,0,NA,38,27,0.698
"RMP","June 2022",407,381,0.938,367,362,0.988,40,19,0.481,10,7,0.707,0,0,NA,1,0,0
"RN3","June 2022",526,513,0.977,495,506,1.023,31,25,0.804,12,8,0.644,0,0,NA,10,7,0.7
"RN5","June 2022",835,751,0.9,789,718,0.911,46,33,0.717,27,17,0.646,NA,NA,NA,4,0,0.025
"RN7","June 2022",526,507,0.963,486,472,0.972,40,34,0.853,13,9,0.713,0,0,NA,0,0,NA
"RNA","June 2022",600,564,0.94,569,549,0.965,31,15,0.486,39,27,0.689,0,0,NA,18,12,0.686
"RNN","June 2022",620,564,0.909,573,543,0.947,47,21,0.447,15,11,0.694,0,0,NA,0,0,NA
"RNQ","June 2022",551,531,0.963,525,513,0.977,26,18,0.685,29,8,0.26,NA,NA,NA,4,0,0.083
"RNS","June 2022",662,638,0.963,596,592,0.993,66,46,0.69,16,11,0.713,0,0,NA,2,0,0.083
"RNZ","June 2022",448,435,0.971,432,423,0.98,16,11,0.706,14,8,0.543,0,0,NA,4,0,0.108
"RP4","June 2022",247,199,0.806,NA,NA,NA,247,199,0.806,0,NA,NA,47,39,0.826,0,NA,NA
"RP5","June 2022",677,660,0.974,653,640,0.981,24,19,0.801,25,22,0.867,0,0,NA,3,1,0.262
"RP6","June 2022",13,4,0.285,13,4,0.285,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"RPA","June 2022",483,451,0.933,446,437,0.978,37,15,0.393,27,19,0.726,0,0,NA,20,11,0.57
"RPC","June 2022",48,23,0.474,46,23,0.493,2,0,0.033,5,2,0.3,NA,NA,NA,NA,NA,NA
"RPY","June 2022",198,169,0.854,182,156,0.857,16,13,0.819,14,9,0.643,NA,NA,NA,NA,NA,NA
"RQ3","June 2022",264,230,0.87,24,14,0.586,240,216,0.898,0,0,NA,29,27,0.945,21,15,0.704
"RQM","June 2022",652,604,0.926,612,571,0.932,40,33,0.834,24,19,0.81,11,7,0.676,50,38,0.751
"RQW","June 2022",416,404,0.97,400,391,0.975,16,13,0.843,12,9,0.775,0,0,NA,6,4,0.717
"RQX","June 2022",260,240,0.924,242,229,0.95,18,11,0.583,11,8,0.756,0,0,NA,24,19,0.792
"RR7","June 2022",440,416,0.944,440,416,0.944,0,0,NA,12,9,0.717,0,0,NA,0,0,NA
"RR8","June 2022",1673,1649,0.985,1541,1522,0.988,132,126,0.955,56,54,0.97,16,13,0.825,26,23,0.894
"RRF","June 2022",383,383,1,383,383,1,0,0,NA,11,7,0.591,0,0,NA,1,1,0.667
"RRJ","June 2022",117,74,0.628,117,74,0.628,0,0,NA,6,3,0.5,0,0,NA,0,0,NA
"RRK","June 2022",2458,2371,0.965,2380,2310,0.971,78,61,0.782,83,80,0.955,NA,NA,NA,12,9,0.742
"RRV","June 2022",637,609,0.955,637,609,0.955,0,0,NA,78,52,0.671,0,0,NA,32,27,0.835
"RTD","June 2022",1434,1229,0.857,1264,1097,0.868,170,132,0.777,85,65,0.759,25,18,0.711,12,9,0.775
"RTE","June 2022",858,820,0.956,812,784,0.966,46,36,0.781,25,16,0.641,0,0,NA,12,6,0.464
"RTF","June 2022",852,758,0.89,834,748,0.898,18,10,0.536,15,10,0.66,0,0,NA,12,6,0.464
"RTG","June 2022",1436,1351,0.94,1388,1319,0.95,48,32,0.656,53,40,0.745,NA,NA,NA,25,20,0.813
"RTH","June 2022",991,938,0.947,912,872,0.956,79,66,0.84,57,36,0.638,17,12,0.706,37,37,1
"RTK","June 2022",503,441,0.877,483,427,0.884,20,14,0.72,17,12,0.678,0,0,NA,8,5,0.588
"RTP","June 2022",661,649,0.982,637,628,0.985,23,21,0.893,16,14,0.898,0,0,NA,23,15,0.668
"RTR","June 2022",873,791,0.906,825,761,0.922,48,30,0.624,58,47,0.819,0,0,1,15,13,0.862
"RTX","June 2022",638,574,0.9,605,558,0.923,33,16,0.487,14,9,0.62,0,0,NA,1,0,0
"RVJ","June 2022",899,885,0.985,899,885,0.985,NA,NA,NA,46,36,0.791,NA,NA,NA,32,26,0.816
"RVR","June 2022",572,508,0.888,539,493,0.914,33,15,0.461,27,16,0.575,0,0,NA,0,0,NA
"RVV","June 2022",1055,970,0.919,1006,942,0.936,49,29,0.581,41,29,0.711,NA,NA,NA,40,26,0.65
"RVW","June 2022",509,477,0.937,489,462,0.944,20,16,0.777,16,11,0.673,0,0,NA,0,0,NA
"RVY","June 2022",361,353,0.979,361,353,0.979,0,0,NA,18,11,0.633,NA,NA,NA,0,0,0
"RWA","June 2022",1035,965,0.932,989,926,0.936,46,38,0.833,44,33,0.752,0,0,NA,5,5,0.861
"RWD","June 2022",1010,933,0.924,977,910,0.931,32,23,0.709,25,14,0.575,0,0,NA,23,13,0.559
"RWE","June 2022",1632,1505,0.922,1526,1440,0.943,106,66,0.619,70,47,0.663,13,10,0.756,42,34,0.808
"RWF","June 2022",703,658,0.937,677,636,0.939,25,22,0.887,31,17,0.533,0,0,NA,0,0,NA
"RWG","June 2022",671,602,0.898,631,582,0.922,40,21,0.518,20,13,0.657,0,0,NA,7,4,0.505
"RWH","June 2022",531,495,0.932,509,478,0.939,22,17,0.767,18,15,0.857,NA,NA,NA,10,4,0.43
"RWJ","June 2022",645,607,0.942,624,590,0.945,20,17,0.835,14,9,0.624,0,0,NA,5,3,0.612
"RWP","June 2022",791,745,0.941,760,723,0.951,31,22,0.71,16,13,0.865,NA,NA,NA,6,2,0.27
"RWW","June 2022",559,508,0.908,520,488,0.938,39,20,0.51,18,16,0.915,0,0,NA,3,1,0.3
"RWY","June 2022",626,600,0.958,589,577,0.98,38,23,0.612,13,9,0.662,0,0,NA,6,4,0.633
"RX1","June 2022",1625,1510,0.929,1521,1429,0.94,104,81,0.781,69,47,0.676,14,11,0.73,40,32,0.806
"RXC","June 2022",751,712,0.948,734,699,0.953,17,13,0.734,19,14,0.715,0,0,NA,12,6,0.483
"RXF","June 2022",1003,923,0.92,988,913,0.924,15,10,0.67,28,8,0.29,0,0,NA,7,2,0.352
"RXK","June 2022",662,618,0.934,631,589,0.932,31,30,0.96,19,16,0.859,0,0,NA,10,0,0
"RXL","June 2022",783,722,0.922,739,696,0.942,44,26,0.581,36,23,0.651,0,0,NA,4,2,0.45
"RXN","June 2022",768,733,0.954,738,711,0.964,30,21,0.706,34,27,0.78,0,0,NA,28,18,0.651
"RXP","June 2022",810,705,0.871,777,681,0.877,33,24,0.73,21,12,0.59,NA,NA,NA,NA,NA,NA
"RXQ","June 2022",453,425,0.938,429,403,0.939,24,22,0.919,18,13,0.72,0,0,NA,5,5,0.899
"RXR","June 2022",727,649,0.894,673,614,0.914,54,35,0.644,28,21,0.744,0,0,NA,8,5,0.604
"RXW","June 2022",753,675,0.896,717,655,0.913,36,21,0.571,22,14,0.617,0,0,NA,6,5,0.718
"RYJ","June 2022",1055,872,0.827,1015,843,0.83,40,30,0.742,101,80,0.791,15,9,0.624,51,27,0.531
"RYR","June 2022",1734,1637,0.944,1653,1583,0.957,81,54,0.67,63,52,0.82,0,0,NA,59,36,0.613
"R0A","July 2022",2294,2030,0.885,2001,1807,0.903,293,223,0.761,125,93,0.745,38,38,0.98,63,41,0.649
"R0B","July 2022",1099,959,0.872,1042,924,0.887,57,35,0.606,22,10,0.477,0,0,NA,6,4,0.704
"R0D","July 2022",1084,1015,0.936,1058,995,0.941,26,20,0.758,22,17,0.774,0,0,NA,20,13,0.656
"R1F","July 2022",266,247,0.929,256,241,0.943,10,6,0.558,6,4,0.633,0,0,NA,0,0,NA
"R1H","July 2022",1625,1487,0.915,1483,1373,0.926,141,114,0.809,120,112,0.933,5,4,0.775,50,43,0.847
"R1K","July 2022",928,891,0.96,901,870,0.965,27,21,0.78,62,50,0.802,0,0,NA,5,3,0.503
"RA2","July 2022",449,430,0.957,420,411,0.979,29,18,0.635,17,17,0.964,0,0,NA,4,2,0.427
"RA4","July 2022",367,349,0.951,343,339,0.988,24,10,0.429,11,10,0.883,0,0,NA,0,0,NA
"RA7","July 2022",1023,939,0.918,875,825,0.944,148,113,0.766,48,42,0.883,18,14,0.797,31,24,0.775
"RA9","July 2022",374,345,0.923,352,330,0.938,22,15,0.678,10,6,0.558,NA,NA,NA,NA,NA,NA
"RAE","July 2022",585,520,0.889,546,490,0.897,39,30,0.77,12,10,0.83,0,0,NA,10,10,0.978
"RAJ","July 2022",1768,1591,0.9,1695,1545,0.912,74,46,0.626,75,71,0.943,0,0,NA,28,18,0.631
"RAL","July 2022",939,914,0.973,894,877,0.98,45,37,0.82,72,59,0.822,0,0,NA,4,2,0.425
"RAN","July 2022",150,116,0.773,123,95,0.772,27,21,0.777,8,3,0.339,4,2,0.508,0,0,NA
"RAP","July 2022",488,476,0.976,472,462,0.978,16,14,0.905,20,18,0.934,NA,NA,NA,6,6,0.978
"RAS","July 2022",333,305,0.914,309,288,0.932,24,17,0.69,12,8,0.636,NA,NA,NA,10,7,0.694
"RAX","July 2022",396,372,0.938,372,356,0.956,24,16,0.661,19,12,0.618,0,0,NA,20,11,0.555
"RBD","July 2022",332,319,0.96,319,311,0.973,13,9,0.658,8,7,0.843,0,0,NA,0,0,NA
"RBK","July 2022",531,512,0.964,489,478,0.978,42,34,0.81,13,11,0.816,NA,NA,NA,2,0,0.145
"RBL","July 2022",769,719,0.935,750,708,0.945,19,11,0.557,18,13,0.747,NA,NA,NA,7,4,0.608
"RBN","July 2022",740,720,0.974,709,699,0.985,31,22,0.709,14,8,0.599,0,0,NA,0,0,NA
"RBQ","July 2022",147,119,0.811,147,119,0.811,NA,NA,NA,30,22,0.741,NA,NA,NA,NA,NA,NA
"RBS","July 2022",207,156,0.752,0,0,NA,207,156,0.752,0,0,NA,21,14,0.687,0,0,NA
"RBT","July 2022",535,514,0.962,508,499,0.983,27,15,0.554,11,9,0.781,0,0,NA,15,8,0.555
"RBV","July 2022",157,144,0.916,157,144,0.916,NA,NA,NA,8,5,0.589,NA,NA,NA,NA,NA,NA
"RC9","July 2022",1057,1011,0.957,960,928,0.967,97,83,0.857,26,16,0.615,0,0,NA,22,14,0.619
"RCB","July 2022",860,793,0.923,819,774,0.945,41,19,0.475,36,15,0.429,0,0,NA,2,2,0.758
"RCD","July 2022",316,296,0.937,300,288,0.96,16,8,0.504,11,6,0.536,0,0,NA,0,0,NA
"RCF","July 2022",349,317,0.909,332,305,0.92,17,12,0.688,7,4,0.627,0,0,NA,0,0,NA
"RCU","July 2022",142,101,0.708,0,0,NA,142,101,0.708,0,0,NA,9,6,0.662,2,1,0.516
"RCX","July 2022",506,497,0.983,490,485,0.991,16,12,0.732,13,9,0.707,NA,NA,NA,3,2,0.527
"RD1","July 2022",571,533,0.934,538,516,0.959,32,17,0.53,13,12,0.911,0,0,NA,7,6,0.825
"RD8","July 2022",511,475,0.93,470,450,0.958,41,25,0.616,10,8,0.758,0,0,NA,4,3,0.847
