"nhs_trust22_code","date","general_acute_beds_available","general_acute_beds_occupied","general_acute_beds_occupancy_rate","adult_general_acute_beds_available","adult_general_acute_beds_occupied","adult_general_acute_beds_occupancy_rate","paediatric_general_acute_beds_available","paediatric_general_acute_beds_occupied","paediatric_general_acute_beds_occupancy_rate","adult_critical_care_beds_available","adult_critical_care_beds_occupied","adult_critical_care_occupancy_rate","paediatric_intensive_cared_beds_available","paediatric_intensive_cared_beds_occupied","paediatric_intensive_cared_occupancy_rate","neonatal_intensive_care_bed_available","neonatal_intensive_care_bed_occupied","neonatal_intensive_care_occupancy_rate"
"R0A","May 2022",2303,2008,0.872,1995,1773,0.889,308,236,0.765,126,92,0.73,42,39,0.915,63,46,0.732
"R0B","May 2022",1096,931,0.849,1038,895,0.863,58,36,0.615,22,14,0.652,0,0,NA,6,5,0.878
"R0D","May 2022",1077,1016,0.943,1051,996,0.947,26,20,0.782,22,18,0.804,0,0,NA,20,14,0.719
"R1F","May 2022",265,247,0.932,255,240,0.939,10,8,0.742,6,5,0.833,0,0,NA,0,0,NA
"R1H","May 2022",1638,1518,0.927,1496,1392,0.93,142,125,0.886,120,111,0.93,5,4,0.845,48,41,0.843
"R1K","May 2022",935,885,0.947,909,865,0.952,26,20,0.764,62,43,0.694,0,0,NA,5,5,0.994
"RA2","May 2022",434,407,0.937,407,390,0.958,27,17,0.626,16,14,0.896,0,0,NA,4,1,0.321
"RA4","May 2022",358,339,0.946,334,327,0.978,24,12,0.497,11,9,0.827,0,0,NA,0,0,NA
"RA7","May 2022",1011,928,0.919,864,814,0.943,147,114,0.777,48,43,0.888,18,15,0.821,31,26,0.844
"RA9","May 2022",387,361,0.932,365,346,0.948,22,15,0.67,10,5,0.545,NA,NA,NA,NA,NA,NA
"RAE","May 2022",571,516,0.904,532,485,0.911,39,31,0.802,12,11,0.868,0,0,NA,8,8,1
"RAJ","May 2022",1773,1611,0.909,1699,1561,0.919,74,50,0.673,73,67,0.92,0,0,NA,28,17,0.6
"RAL","May 2022",950,930,0.979,906,896,0.99,45,34,0.758,69,55,0.8,0,0,NA,3,1,0.389
"RAN","May 2022",152,112,0.74,125,94,0.754,27,18,0.672,8,4,0.444,4,2,0.419,0,0,NA
"RAP","May 2022",480,467,0.974,464,454,0.978,16,14,0.859,19,17,0.878,NA,NA,NA,6,6,0.978
"RAS","May 2022",340,322,0.947,316,302,0.956,24,20,0.826,12,9,0.718,NA,NA,NA,10,7,0.688
"RAX","May 2022",396,378,0.955,372,361,0.97,24,17,0.723,19,13,0.676,0,0,NA,20,12,0.587
"RBD","May 2022",335,325,0.968,322,316,0.982,13,9,0.638,8,6,0.735,0,0,NA,0,0,NA
"RBK","May 2022",542,506,0.933,500,475,0.951,42,30,0.724,13,8,0.593,NA,NA,NA,2,1,0.3
"RBL","May 2022",760,707,0.93,741,693,0.936,19,13,0.699,18,12,0.674,NA,NA,NA,7,5,0.714
"RBN","May 2022",735,716,0.974,704,694,0.985,31,22,0.713,14,10,0.714,0,0,NA,0,0,NA
"RBQ","May 2022",149,120,0.808,149,120,0.808,NA,NA,NA,30,23,0.755,NA,NA,NA,NA,NA,NA
"RBS","May 2022",209,155,0.743,0,0,NA,209,155,0.743,0,0,NA,21,12,0.587,0,0,NA
"RBT","May 2022",540,513,0.949,513,493,0.96,27,20,0.747,11,8,0.762,0,0,NA,15,8,0.548
"RBV","May 2022",161,137,0.851,161,137,0.851,NA,NA,NA,8,4,0.508,NA,NA,NA,NA,NA,NA
"RC9","May 2022",1045,989,0.946,950,907,0.956,96,81,0.851,26,16,0.612,0,0,NA,22,19,0.863
"RCB","May 2022",864,806,0.933,823,787,0.955,41,20,0.476,36,16,0.457,0,0,NA,2,2,0.919
"RCD","May 2022",313,289,0.924,297,278,0.936,16,11,0.718,8,6,0.702,0,0,NA,0,0,NA
"RCF","May 2022",350,311,0.891,333,298,0.896,17,14,0.797,7,5,0.674,0,0,NA,0,0,NA
"RCU","May 2022",148,112,0.756,0,0,NA,148,112,0.756,0,0,NA,8,6,0.722,2,1,0.581
"RCX","May 2022",510,494,0.969,494,479,0.97,16,15,0.925,13,7,0.531,0,0,NA,3,1,0.376
"RD1","May 2022",575,530,0.922,543,513,0.945,32,17,0.534,13,12,0.892,0,0,NA,7,6,0.839
"RD8","May 2022",507,458,0.904,466,433,0.928,41,26,0.626,10,7,0.684,0,0,NA,4,3,0.863
"RDE","May 2022",1142,1057,0.926,1104,1032,0.935,38,26,0.674,38,17,0.451,0,0,NA,10,5,0.471
"RDU","May 2022",1291,1176,0.911,1221,1127,0.924,70,48,0.688,24,21,0.873,0,0,NA,11,7,0.615
"REF","May 2022",651,621,0.954,614,603,0.981,37,18,0.496,15,10,0.657,0,0,NA,7,4,0.636
"REM","May 2022",1585,1437,0.907,1585,1437,0.907,0,0,NA,59,45,0.77,NA,NA,NA,NA,NA,NA
"REN","May 2022",90,88,0.972,90,88,0.972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"REP","May 2022",24,16,0.676,24,16,0.676,0,0,NA,2,1,0.403,0,0,NA,44,35,0.79
"RET","May 2022",144,130,0.905,144,130,0.905,0,0,NA,20,10,0.523,0,0,NA,0,0,NA
"RF4","May 2022",913,847,0.927,862,804,0.932,51,43,0.846,57,47,0.829,0,0,NA,11,9,0.774
"RFF","May 2022",418,386,0.924,410,381,0.929,8,5,0.637,24,16,0.648,0,0,NA,2,1,0.435
"RFR","May 2022",440,410,0.933,418,398,0.952,22,13,0.575,14,8,0.588,0,0,NA,14,9,0.613
"RFS","May 2022",524,494,0.944,499,474,0.949,24,20,0.831,15,11,0.712,0,0,NA,3,2,0.734
"RGM","May 2022",177,166,0.942,177,166,0.942,NA,NA,NA,32,29,0.898,NA,NA,NA,NA,NA,NA
"RGN","May 2022",899,852,0.948,856,821,0.959,43,31,0.73,22,15,0.679,NA,NA,NA,3,2,0.56
"RGP","May 2022",456,425,0.932,427,408,0.955,29,17,0.586,12,8,0.677,0,0,NA,9,4,0.423
"RGR","May 2022",436,383,0.879,421,374,0.889,15,9,0.591,16,13,0.827,0,0,NA,12,10,0.796
"RGT","May 2022",1006,948,0.942,929,884,0.951,77,64,0.829,65,55,0.852,9,3,0.379,49,32,0.653
"RH5","May 2022",645,610,0.946,604,584,0.967,41,26,0.634,16,10,0.629,0,0,NA,8,4,0.492
"RH8","May 2022",1143,1052,0.921,1086,1021,0.94,56,30,0.541,35,22,0.641,0,0,NA,8,6,0.673
"RHM","May 2022",1064,1010,0.949,975,936,0.96,89,74,0.829,92,80,0.864,14,11,0.774,11,8,0.726
"RHQ","May 2022",1378,1259,0.914,1378,1259,0.914,NA,NA,NA,130,92,0.704,NA,NA,NA,50,31,0.618
"RHU","May 2022",1061,1015,0.957,1028,993,0.967,33,21,0.641,21,21,1,0,0,NA,14,12,0.864
"RHW","May 2022",610,535,0.877,575,516,0.898,35,19,0.543,22,19,0.846,NA,NA,NA,2,1,0.435
"RJ1","May 2022",929,798,0.859,809,717,0.886,120,81,0.676,76,62,0.816,19,17,0.874,20,16,0.803
"RJ2","May 2022",878,844,0.961,847,816,0.964,32,27,0.868,36,22,0.608,0,0,NA,5,1,0.265
"RJ6","May 2022",459,448,0.975,446,440,0.987,14,8,0.584,15,9,0.58,3,3,1,4,1,0.258
"RJ7","May 2022",854,821,0.962,807,779,0.965,47,42,0.903,67,56,0.832,15,12,0.798,39,32,0.818
