"icb22_code","total_attendances","attendances_over_4hours","total_emergency_admissions","emergency_admissions_over_4hours","pct_attendance_over_4hours","pct_emergency_admissions_over_4hours","date"
"E54000030",81245,19036,10481,4689,0.23,0.45,"June 2025"
"E54000011",17041,6417,5244,1784,0.38,0.34,"June 2025"
"E54000038",22118,5383,4869,349,0.24,0.07,"June 2025"
"E54000031",59543,15115,10373,3450,0.25,0.33,"June 2025"
"E54000061",61081,14898,18547,2311,0.24,0.12,"June 2025"
"E54000010",24459,7789,6822,1974,0.32,0.29,"June 2025"
"E54000023",36492,9041,9736,2209,0.25,0.23,"June 2025"
"E54000052",35132,9712,10987,2141,0.28,0.19,"June 2025"
"E54000053",66347,13875,14548,1416,0.21,0.1,"June 2025"
"E54000062",74364,14507,20767,4747,0.2,0.23,"June 2025"
"E54000054",93510,20689,18393,5402,0.22,0.29,"June 2025"
"E54000040",31952,8798,11404,1998,0.28,0.18,"July 2025"
"E54000024",43292,10444,10042,519,0.24,0.05,"July 2025"
"E54000055",53757,14400,19239,4377,0.27,0.23,"July 2025"
"E54000039",37801,8945,12046,1804,0.24,0.15,"July 2025"
"E54000044",60124,11149,20299,1350,0.19,0.07,"July 2025"
"E54000056",38337,9592,8360,2199,0.25,0.26,"July 2025"
"E54000008",128282,36043,30796,9223,0.28,0.3,"July 2025"
"E54000036",21203,3782,4296,705,0.18,0.16,"July 2025"
"E54000018",37346,9117,6022,1092,0.24,0.18,"July 2025"
"E54000050",148988,29109,36972,4127,0.2,0.11,"July 2025"
"E54000037",49305,13348,14189,2080,0.27,0.15,"July 2025"
"E54000041",30793,7254,9592,925,0.24,0.1,"July 2025"
"E54000029",94895,20514,16560,3362,0.22,0.2,"July 2025"
"E54000034",37388,9850,6798,1816,0.26,0.27,"July 2025"
"E54000043",23784,5511,5705,672,0.23,0.12,"July 2025"
"E54000057",131769,37700,30191,8534,0.29,0.28,"July 2025"
"E54000042",70493,16907,17782,2587,0.24,0.15,"July 2025"
"E54000048",80470,18230,18804,4753,0.23,0.25,"July 2025"
"E54000019",28671,9286,5483,2552,0.32,0.47,"July 2025"
"E54000025",49086,10240,10293,1447,0.21,0.14,"July 2025"
"E54000051",70024,18496,20357,4061,0.26,0.2,"July 2025"
"E54000058",59134,13314,8728,2378,0.23,0.27,"July 2025"
"E54000032",98144,16813,17475,4355,0.17,0.25,"July 2025"
"E54000015",39421,8178,10215,1871,0.21,0.18,"July 2025"
"E54000013",30865,8102,6064,2086,0.26,0.34,"July 2025"
"E54000026",35689,8339,10559,2409,0.23,0.23,"July 2025"
"E54000022",38699,9823,8437,2214,0.25,0.26,"July 2025"
"E54000028",73118,15179,11226,3687,0.21,0.33,"July 2025"
"E54000027",109082,20552,17233,2405,0.19,0.14,"July 2025"
"E54000059",31962,9261,4662,2632,0.29,0.56,"July 2025"
"E54000060",42798,13385,14123,1479,0.31,0.1,"July 2025"
"E54000030",82681,19136,11127,4114,0.23,0.37,"July 2025"
"E54000011",17340,6429,5408,1886,0.37,0.35,"July 2025"
"E54000038",23191,5214,5096,333,0.22,0.07,"July 2025"
"E54000031",60137,14756,10232,4020,0.25,0.39,"July 2025"
"E54000061",61132,15771,18740,2758,0.26,0.15,"July 2025"
"E54000010",25317,7378,7149,1553,0.29,0.22,"July 2025"
"E54000023",36440,9005,10033,1874,0.25,0.19,"July 2025"
"E54000052",35436,10474,12288,2252,0.3,0.18,"July 2025"
"E54000053",69074,14421,15468,1117,0.21,0.07,"July 2025"
"E54000062",75225,14899,21117,5167,0.2,0.24,"July 2025"
"E54000054",95239,19160,18782,4769,0.2,0.25,"July 2025"
