"ltla21_name","ltla21_code","variable","value"
"Fermanagh and Omagh","N09000006","count_5to14_years_1to19_hours",123
"Fermanagh and Omagh","N09000006","count_5to14_years_20to34_hours",15
"Fermanagh and Omagh","N09000006","count_5to14_years_35to49_hours",3
"Fermanagh and Omagh","N09000006","count_5to14_years_50plus_hours",11
"Fermanagh and Omagh","N09000006","total_15to39_years",33921
"Fermanagh and Omagh","N09000006","count_15to39_years_0_hours",31026
"Fermanagh and Omagh","N09000006","count_15to39_years_1to19_hours",1401
"Fermanagh and Omagh","N09000006","count_15to39_years_20to34_hours",334
"Fermanagh and Omagh","N09000006","count_15to39_years_35to49_hours",543
"Fermanagh and Omagh","N09000006","count_15to39_years_50plus_hours",617
"Fermanagh and Omagh","N09000006","total_40to64_years",38218
"Fermanagh and Omagh","N09000006","count_40to64_years_0_hours",30934
"Fermanagh and Omagh","N09000006","count_40to64_years_1to19_hours",3489
"Fermanagh and Omagh","N09000006","count_40to64_years_20to34_hours",840
"Fermanagh and Omagh","N09000006","count_40to64_years_35to49_hours",855
"Fermanagh and Omagh","N09000006","count_40to64_years_50plus_hours",2100
"Fermanagh and Omagh","N09000006","total_65_and_over",21437
"Fermanagh and Omagh","N09000006","count_65_and_over_0_hours",19128
"Fermanagh and Omagh","N09000006","count_65_and_over_1to19_hours",725
"Fermanagh and Omagh","N09000006","count_65_and_over_20to34_hours",243
"Fermanagh and Omagh","N09000006","count_65_and_over_35to49_hours",234
"Fermanagh and Omagh","N09000006","count_65_and_over_50plus_hours",1107
"Fermanagh and Omagh","N09000006","percent_5_and_over_0_hours",0.884547231508376
"Fermanagh and Omagh","N09000006","percent_5_and_over_1to19_hours",0.052410441899125
"Fermanagh and Omagh","N09000006","percent_5_and_over_20to34_hours",0.0130797756708865
"Fermanagh and Omagh","N09000006","percent_5_and_over_35to49_hours",0.0149339617471365
"Fermanagh and Omagh","N09000006","percent_5_and_over_50plus_hours",0.0350285891744762
"Fermanagh and Omagh","N09000006","percent_5to14_years_0_hours",0.990443857663775
"Fermanagh and Omagh","N09000006","percent_5to14_years_1to19_hours",0.00773293096944549
"Fermanagh and Omagh","N09000006","percent_5to14_years_20to34_hours",0.000943040362127499
"Fermanagh and Omagh","N09000006","percent_5to14_years_35to49_hours",0.0001886080724255
"Fermanagh and Omagh","N09000006","percent_5to14_years_50plus_hours",0.000691562932226833
"Fermanagh and Omagh","N09000006","percent_15to39_years_0_hours",0.914654638719377
"Fermanagh and Omagh","N09000006","percent_15to39_years_1to19_hours",0.0413018484124878
"Fermanagh and Omagh","N09000006","percent_15to39_years_20to34_hours",0.00984640782995784
"Fermanagh and Omagh","N09000006","percent_15to39_years_35to49_hours",0.0160077827894225
"Fermanagh and Omagh","N09000006","percent_15to39_years_50plus_hours",0.0181893222487545
"Fermanagh and Omagh","N09000006","percent_40to64_years_0_hours",0.809409178920927
"Fermanagh and Omagh","N09000006","percent_40to64_years_1to19_hours",0.0912920613323565
"Fermanagh and Omagh","N09000006","percent_40to64_years_20to34_hours",0.0219791721178502
"Fermanagh and Omagh","N09000006","percent_40to64_years_35to49_hours",0.0223716573342404
"Fermanagh and Omagh","N09000006","percent_40to64_years_50plus_hours",0.0549479302946256
