"stp20_nhs_code","date","year","month","completed","incomplete","new"
"QUE",2021-07-01,2021,"Jul",24730,129913,31386
"QUY",2021-07-01,2021,"Jul",24781,125867,27550
"QVV",2021-07-01,2021,"Jul",14726,84906,19743
"QWE",2021-07-01,2021,"Jul",37877,152397,47471
"QWO",2021-07-01,2021,"Jul",53188,258590,67520
"QWU",2021-07-01,2021,"Jul",20334,107448,24577
"QXU",2021-07-01,2021,"Jul",26347,110086,32157
"QYG",2021-07-01,2021,"Jul",60280,315791,80395
"QE1",2021-08-01,2021,"Aug",34385,194199,43360
"QF7",2021-08-01,2021,"Aug",37982,178530,44223
"QGH",2021-08-01,2021,"Aug",11343,91462,15768
"QH8",2021-08-01,2021,"Aug",25798,140436,34754
"QHG",2021-08-01,2021,"Aug",16982,103969,26187
"QHL",2021-08-01,2021,"Aug",23444,253074,38583
"QHM",2021-08-01,2021,"Aug",77534,366344,97374
"QJ2",2021-08-01,2021,"Aug",19646,133389,25960
"QJG",2021-08-01,2021,"Aug",18000,101056,22722
"QJK",2021-08-01,2021,"Aug",25309,196042,33112
"QJM",2021-08-01,2021,"Aug",8015,59466,9815
"QK1",2021-08-01,2021,"Aug",16286,127723,18016
"QKK",2021-08-01,2021,"Aug",49729,239707,63048
"QKS",2021-08-01,2021,"Aug",31700,190256,38166
"QM7",2021-08-01,2021,"Aug",22105,130467,29493
"QMF",2021-08-01,2021,"Aug",30696,212805,45821
"QMJ",2021-08-01,2021,"Aug",39546,246404,50356
"QMM",2021-08-01,2021,"Aug",18319,132216,27863
"QNC",2021-08-01,2021,"Aug",14976,95618,19260
"QNQ",2021-08-01,2021,"Aug",9948,62468,12250
"QNX",2021-08-01,2021,"Aug",37206,209786,46172
"QOC",2021-08-01,2021,"Aug",11094,65720,11080
"QOP",2021-08-01,2021,"Aug",68424,477366,84577
"QOQ",2021-08-01,2021,"Aug",39351,186314,44719
"QOX",2021-08-01,2021,"Aug",18684,103814,24255
"QPM",2021-08-01,2021,"Aug",11018,62636,15494
"QR1",2021-08-01,2021,"Aug",8649,74379,15825
"QRL",2021-08-01,2021,"Aug",37518,188222,41708
"QRV",2021-08-01,2021,"Aug",43284,231405,57829
"QSL",2021-08-01,2021,"Aug",8136,56372,11127
"QT1",2021-08-01,2021,"Aug",25545,125385,31154
"QT6",2021-08-01,2021,"Aug",9485,45391,12361
"QU9",2021-08-01,2021,"Aug",27363,175752,35460
"QUA",2021-08-01,2021,"Aug",30854,190979,44681
"QUE",2021-08-01,2021,"Aug",22575,133671,27976
"QUY",2021-08-01,2021,"Aug",20815,129130,26140
"QVV",2021-08-01,2021,"Aug",13247,87119,17439
"QWE",2021-08-01,2021,"Aug",33587,156005,43431
"QWO",2021-08-01,2021,"Aug",47716,265824,63431
"QWU",2021-08-01,2021,"Aug",16607,109184,22862
"QXU",2021-08-01,2021,"Aug",23311,112682,29699
"QYG",2021-08-01,2021,"Aug",54186,290695,69888
"QE1",2021-09-01,2021,"Sep",38150,196325,48253
"QF7",2021-09-01,2021,"Sep",44432,182160,48944
"QGH",2021-09-01,2021,"Sep",12505,94400,18180
"QH8",2021-09-01,2021,"Sep",27722,142293,36948
"QHG",2021-09-01,2021,"Sep",19203,109131,28270
"QHL",2021-09-01,2021,"Sep",27824,257036,42861
"QHM",2021-09-01,2021,"Sep",87666,374613,109928
"QJ2",2021-09-01,2021,"Sep",21329,133519,28199
"QJG",2021-09-01,2021,"Sep",20469,104594,26308
"QJK",2021-09-01,2021,"Sep",28994,199891,37063
"QJM",2021-09-01,2021,"Sep",9255,61114,11762
"QK1",2021-09-01,2021,"Sep",18212,129047,21267
"QKK",2021-09-01,2021,"Sep",54398,245284,72121
"QKS",2021-09-01,2021,"Sep",35245,194220,42085
"QM7",2021-09-01,2021,"Sep",25367,132504,32209
